Indice_flesch;NomeArquivo;Preco_arq;med_caracs_pags;nro_caracteres;nro_pags;nro_palavras;numbers;plvr_outra_ling;plvrs_unicas;substantivos;verbos
68.3;0506142.pdf;108.7;3799.0;15196;4;2385;16;3;845;1013;301
49.58;0ad39f8e6ed2d5cf7b978f67790b6516fcfa.pdf;79.06;736.0;4414;6;523;0;3;296;465;4
15.48;10.1.1.182.5687.pdf;4208.15;2687.0;343997;128;53616;287;46;7335;21035;6663
-118.07;10.1.1.45.9176.pdf;200.95;2762.0;66282;24;10242;51;6;2702;3821;1458
56.79;10.1.1.453.1317.pdf;681.78;4915.0;83563;17;12786;51;31;3512;4951;1994
43.66;10.1.1.458.4773.pdf;900.95;3104.0;86902;28;12297;21;48;3107;5754;1562
28.3;10.1.1.476.7.pdf;969.57;3169.0;82406;26;13204;32;7;3108;4715;1794
39.67;10.1.1.711.2859.pdf;628.35;2487.0;57206;23;9052;29;11;1786;3870;1019
70.43;10.1.1.864.1686.pdf;132.68;4714.0;23568;5;3735;9;12;1419;2031;435
48.94;11079413.pdf;159.11;4065.0;16261;4;2430;17;3;1034;937;305
48.67;116.pdf;7330.64;2820.0;693670;246;120384;575;19;19588;35543;21153
51.11;1366100.pdf;236.43;3966.0;27761;7;4496;21;2;1381;1822;527
42.72;1418.pdf;17798.4;1599.0;1424928;891;260644;1092;31;14805;70875;55767
60.69;15854-Article Text-35874-1-10-20140114.pdf;366.01;1634.0;40858;25;6723;24;6;1919;3022;764
49.18;1784.full.pdf;181.97;4772.0;19087;4;2829;8;1;1044;1102;427
15.88;1880109.pdf;11772.51;1736.0;817710;471;137227;238;3100;26992;86130;11298
7.26;1901-4259-1-PB.pdf;272.37;2802.0;22418;8;3443;5;2;1007;1444;420
-35.52;19700017250.pdf;261.85;827.0;53764;65;11754;27;13;1737;4757;1729
41.9;1_2017_wks1-2_discussion_handout.pdf;906.86;5022.0;95419;19;13697;35;62;4156;6214;1700
-10.75;2000_acm_aa_001.pdf;120.44;4984.0;44854;9;6690;32;2;2188;2214;1144
41.33;2000_PhD_Bart.pdf;4725.91;1385.0;356061;257;56227;201;473;9125;25479;7921
35.54;2010-10-HBF_GreeningTheBudget.pdf;1022.88;3222.0;99868;31;15556;89;9;3148;5734;2035
1.54;230986aecfdaccee60fcc17bf0138917982a.pdf;12311.11;2285.0;966544;423;151958;617;87;9129;57147;19917
51.21;2312-some-thoughts-on-genesis-1-2-and-egyptian-cosmology.pdf;283.49;2784.0;30625;11;5346;28;6;1672;2212;711
70.06;25734.pdf;10192.68;3299.0;1745240;529;271485;1282;98;46134;103896;42651
56.76;27899648.pdf;528.29;1411.0;46567;33;8687;86;8;2313;3104;1296
28.0;2f51ecfdd78908b59665470e273492956304.pdf;1955.84;4290.0;175887;41;29820;178;29;6258;9631;4482
50.97;369_384_paper01_Pages_from_361_492_Tourism_2012_04EN_crop.pdf;498.49;3584.0;57346;16;9265;39;63;2658;3802;1305
43.9;370950v20Reade101OFFICIAL0USE0ONLY1.pdf;11328.08;2098.0;990386;472;147596;741;142;18352;63164;18193
47.66;4.pdf;381.72;3080.0;36963;12;5340;22;0;2387;2118;811
46.78;4171728.pdf;488.23;2281.0;43344;19;7773;43;4;2127;2667;1077
-87.29;438.pdf;190.78;3268.0;65356;20;10090;13;101;2354;3702;1579
42.92;44-Straipsnio tekstas-70-1-10-20180712.pdf;180.64;2795.0;16768;6;2509;6;2;1042;1328;279
58.11;448c34a82c4950c661608a40b012fc05f16e.pdf;382.75;2177.0;39184;18;6635;55;5;1975;2486;881
38.05;51.full.pdf;488.57;2453.0;44150;18;7271;35;13;1476;3045;950
14.8;5c855ba3212b02da9e232b2aef5c344910f7.pdf;1530.11;2994.0;128726;43;21072;101;3;4179;6969;2747
39.67;609.full.pdf;1083.29;2605.0;99007;38;15997;119;14;2756;7430;1939
44.21;633751.pdf;14570.7;2059.0;1268612;616;214959;1100;703;21964;69347;30594
54.02;641.full.pdf;394.25;4747.0;47467;10;7044;5;19;2388;3566;703
-582.93;855D5KF8W9JUNEWP_266_2011.pdf;13.08;56.0;336;6;126;0;0;31;106;6
56.79;88-4-285.pdf;375.44;5129.0;46162;9;6528;21;17;2417;3107;744
